id,namekey,soldierid
D4BD3794,27/110/2,324307
84B5D293,27/106/2,329515
A4B2E193,27/103/1,450600
649AF193,27/201/2,189252
B459D393,27/119/2,463716
B4173A94,27/112/1,455509
C47BE393,27/214/1,507795
8408E493,27/101/1,
4409CD93,27/217/3,485750
F443DE93,27/117/3,161117
E46BD893,27/109/1,519640
F4FADE93,27/203/1,370800
140FF093,27/220/1,303575
C4C2E793,27/202/3,195268
9443F493,27/206/1,392383
F483E593,27/211/2,491873
D47DD493,27/D1/3,
84694694,27/2/E2/3,
D426E393,27/207/1,229827
84A5D793,27/215/2,468237
743DE893,27/101/2,513977
74D8DF93,27/1/E2/3,
24E1E393,27/206/3,406919
8489F493,27/213/2,481193
44A5E293,27/104/1,415376
74A5E293,27/120/1,425346
6403E693,27/216/3,475842
A4FCCC93,27/219/1,481846
140DF093,27/104/3,338195
54A0F193,27/119/1,477301
94914494,27/2/E1/1,
141FF293,27/212/1,476610
7429F493,27/214/3,508884
0450E293,27/213/1,481986
240AE193,27/209/2,503509
B4AFE193,27/113/3,485221
C478D493,27/D2/3,
D4763894,27/111/1,444875
8447DE93,27/215/1,493372
041CD093,27/114/2,464046
849DCF93,27/D2/2,
44BDCA93,27/201/3,348441
148FE193,27/208/3,481488
94D1E293,27/117/2,392173
D48AF293,27/217/2,
9432EB93,27/208/2,513360
8445E593,27/209/1,505414
D4C8F293,27/D2/1,
6483CE93,27/1/E1/1,
C449E493,27/210/2,512980
242BCC93,27/207/2,
14E0DB93,27/1/E2/1,
04EED593,27/108/3,493140
84D9E893,27/202/1,
1429E293,27/212/3,469386
34B1E293,27/213/3,
44C74594,27/107/2,482625
6454CB93,27/110/1,216819
04D23B94,27/109/2,505372
E4ACD693,27/216/2,190893
D4F4CC93,27/1/E1/2,
B4F8E493,27/203/3,208193
A4AEF493,27/105/1,309854
7461EB93,27/219/2,492054
940ACF93,27/2/E1/2,
C456E093,27/103/3,485226
B4ADEC93,27/112/3,472973
E42AE193,27/111/2,467531
046C3894,27/117/1,
54E0F393,27/217/1,416519
E443DB93,27/214/2,
747ECC93,27/107/1,481384
040DCB93,27/118/2,451932
04B6F493,27/204/2,173722
44254194,27/113/1,452127
6429E393,27/116/1,469831
7487E393,27/203/2,
0479F493,27/204/1,195186
2488EA93,27/208/1,
F413D093,27/116/3,469819
34F7E493,27/116/2,
746FE193,27/107/3,
C416CC93,27/205/2,156921
A435E293,27/102/1,177841
D4E9DA93,27/211/1,447418
9453E693,27/201/1,
248DE193,27/105/3,460124
2409F093,27/115/3,514172
B4B14194,27/104/2,493144
3486EA93,27/112/2,
A4F5DC93,27/106/3,468156
D461D693,27/219/3,
549EF093,27/114/3,509390
D4D03B94,27/218/2,207432
A427D093,27/105/2,
4492E593,27/120/3,427758
64E1D593,27/102/3,292823
246EE493,27/218/3,213926
B4B6E393,27/220/3,229653
A473CD93,27/101/3,486177
9455E693,27/205/3,198788
B4B2E193,27/118/1,478435
5433E293,27/2/E1/3,
34DCEE93,27/108/2,473912
144BF193,27/210/3,518439
B4AFEC93,27/2/E2/2,
049BE493,27/205/1,
B41AF193,27/212/2,512065
842FE293,27/106/1,
D41A4494,27/2/E2/1,
B40DED93,27/1/E1/3,
044FF193,27/D1/1,
C44DE193,27/210/1,
145DE393,27/207/3,
248AEA93,27/209/3,
944FE193,27/108/1,
3477F493,27/114/1,
9469DD93,27/220/2,
2413CD93,27/1/E2/2,
5463EB93,27/115/2,468209
94E93D94,27/D1/2,
F4CD3A94,27/115/1,508845
544AF293,27/202/2,
54A0F093,27/113/2,
8479EC93,27/218/1,
3484F493,27/109/3,
7483E393,27/206/2,
4490E593,27/215/3,486332
C487F493,27/102/2,
640EE093,27/119/3,452008
2408E193,27/118/3,513580
D4F3DB93,27/216/1,
3416CF93,27/103/2,
D4C6F293,27/204/3,
14EDDD93,27/120/2,
F4A8F493,27/211/3,
94D2E493,27/110/3,
6449F493,27/111/3,
44CFD393,28/1/E2/3,
F47F4394,28/216/1,465790
C4E2CC93,28/112/2,505711
A4B4CA93,28/D2/1,
E476DC93,28/111/2,394693
C41FCE93,28/214/3,487320
D4673894,28/D1/1,
F40FD493,28/208/2,501128
54854194,28/108/1,485267
C401CB93,28/211/1,476629
54E0DD93,28/119/1,490850
C471DC93,28/218/1,464936
A46B3B94,28/118/3,462738
34DCD093,28/220/3,
649FD493,28/105/2,474116
C413DA93,28/120/1,487302
142F3F94,28/212/1,493011
A4BBCB93,28/113/2,462952
84424794,28/207/2,364409
84BECB93,28/114/3,
D481DD93,28/114/1,377349
C476CD93,28/112/1,473595
9496CD93,28/2/E2/1,
145D3794,28/205/3,
7466D193,28/102/2,502059
4491CC93,28/213/1,481921
74364994,28/1/E1/1,
940ACB93,28/201/1,501022
A40BCC93,28/207/3,
14C24594,28/108/3,
B4BECB93,28/217/1,466513
448FCE93,28/214/2,493249
84CFDC93,28/119/3,501413
6474CD93,28/110/3,411727
74DFDA93,28/203/1,503470
A406CC93,28/204/2,478062
C460D693,28/117/1,451038
149ECF93,28/205/2,477013
94FDCD93,28/216/3,464572
B48BDB93,28/2/E1/2,
34D2CB93,28/202/2,468934
B458DE93,28/214/1,473726
24C4DE93,28/101/1,496858
E4EFDB93,28/203/3,505752
44FCD393,28/104/2,486756
04B9E493,28/206/3,
C4EE3794,28/205/1,465035
F43BD593,28/208/1,472500
D430CC93,28/102/1,473640
64C4D093,28/215/1,437693
64B5DA93,28/216/2,485950
04E3D893,28/201/2,506675
E4BDD093,28/1/E1/2,
64DED893,28/201/3,473112
B4EFDB93,28/116/3,
74FCDD93,28/D1/2,
A41FDA93,28/213/3,501065
24E9DD93,28/220/1,485238
24C2DE93,28/1/E1/3,
F4EDCC93,28/111/1,424712
7458DC93,28/120/2,486367
F416D593,28/103/3,502284
B428CF93,28/119/2,494363
2418CE93,28/107/1,497571
C4F43594,28/202/3,492799
646ECB93,28/120/3,497045
C46DDE93,28/105/1,436623
E46FD393,28/208/3,451001
C4FFCA93,28/209/1,511006
6498CC93,28/107/3,499890
1492CC93,28/103/1,514204
34D83C94,28/2/E2/2,
74D0D393,28/206/1,476509
842FDA93,28/116/2,493095
C4F03B94,28/104/3,497766
748DD493,28/117/3,
9481D993,28/106/1,514351
F41FCD93,28/116/1,493204
B4DBDA93,28/118/2,502081
445ED893,28/115/3,
24D6DD93,28/212/2,495997
74FECC93,28/219/3,
7498CF93,28/109/1,332779
54E8D893,28/103/2,513450
640DD993,28/106/2,497645
843ED793,28/211/3,458150
84DA4194,28/114/2,440828
84FE3894,28/101/3,502184
F481CE93,28/204/1,450798
24ECCC93,28/219/2,481627
540AD293,28/104/1,501897
A4713B94,28/109/2,482048
F47DCE93,28/108/2,451179
F44ED793,28/117/2,482529
34FEDB93,28/211/2,496672
54A9CE93,28/2/E2/3,
E41CCD93,28/110/1,192053
E4F33994,28/111/3,444070
34CA3A94,28/2/E1/3,
E4B8CB93,28/115/1,497955
4497D193,28/202/1,447137
4452F293,28/210/3,
94A4CD93,28/101/2,478000
A49DD693,28/209/2,504292
34F0CC93,28/118/1,501415
9462DF93,28/215/2,473689
2472D893,28/210/1,443288
743BE293,28/215/3,492223
F40DD493,28/1/E2/1,
B4F3CC93,28/D2/2,
C466CD93,28/206/2,458670
A4ABCB93,28/2/E1/1,
940CCB93,28/D2/3,
D407CD93,28/107/2,514265
F4F33E94,28/113/1,458925
F4EFDB93,28/102/3,507542
D4DED893,28/210/2,486827
4471CD93,28/209/3,
24B8DA93,28/220/2,464053
14C4CA93,28/207/1,465061
843ED893,28/112/3,436879
041A3694,28/218/2,481378
8449D393,28/113/3,469641
D449DE93,28/105/3,433780
B4DA3B94,28/217/3,473735
34ED4894,28/204/3,501025
84F0CD93,28/213/2,499584
C49BCE93,28/1/E2/2,
A453DA93,28/218/3,493532
6415DA93,28/110/2,336882
744CD393,28/203/2,483857
A4A5D793,28/219/1,473015
54B9CA93,28/212/3,
643E3694,28/109/3,
F454DE93,28/217/2,488264
84D1CA93,28/115/2,472561
F496CC93,28/106/3,500808
24ACD093,28/D1/3,
B4A53D94,29/207/3,443672
6416CC93,29/107/1,513356
74F2DC93,29/101/3,
A4F43594,29/210/3,503367
F452DA93,29/215/1,492594
D4F6DA93,29/116/1,
B4E7CC93,29/112/3,492041
A4494594,29/110/1,513098
5402CE93,29/219/2,443057
84233D94,29/220/2,364989
F4E53A94,29/206/2,454438
440BCD93,29/203/1,443719
D4DEDD93,29/205/3,
2481CE93,29/203/3,
F44AD093,29/107/2,513279
5423CF93,29/D1/2,
A4B6CA93,29/204/2,
148CCE93,29/102/1,328845
041ED093,29/101/1,458054
0443DE93,29/201/1,446984
1418CB93,29/218/3,
440CD493,29/111/3,514024
A4E84494,29/219/1,458729
B4ADD793,29/217/2,498728
F454D193,29/104/1,514271
7453DF93,29/216/3,519208
7453DA93,29/202/1,411408
E4FDD593,29/209/2,506555
D4DCD893,29/D1/3,
F443D093,29/214/2,469824
B482E093,29/213/2,487036
