id,nameroom
271E1,27/1/E1
271E2,27/1/E2
272E1,27/2/E1
272E2,27/2/E2
281E1,28/1/E1
281E2,28/1/E2
282E1,28/2/E1
282E2,28/2/E2
291E1,29/1/E1
291E2,29/1/E2
292E1,29/2/E1
292E2,29/2/E2
301E1,30/1/E1
301E2,30/1/E2
302E1,30/2/E1
302E2,30/2/E2
311E1,31/1/E1
311E2,31/1/E2
312E1,31/2/E1
312E2,31/2/E2
321E1,32/1/E1
321E2,32/1/E2
322E1,32/2/E1
322E2,32/2/E2
331E1,33/1/E1
331E2,33/1/E2
332E1,33/2/E1
332E2,33/2/E2
341E1,34/1/E1
341E2,34/1/E2
342E1,34/2/E1
342E2,34/2/E2
351E1,35/1/E1
351E2,35/1/E2
352E1,35/2/E1
352E2,35/2/E2
361E1,36/1/E1
361E2,36/1/E2
362E1,36/2/E1
362E2,36/2/E2
27D1,27/D1
27D2,27/D2
28D1,28/D1
28D2,28/D2
29D1,29/D1
29D2,29/D2
30D1,30/D1
30D2,30/D2
31D1,31/D1
31D2,31/D2
32D1,32/D1
32D2,32/D2
33D1,33/D1
33D2,33/D2
34D1,34/D1
34D2,34/D2
35D1,35/D1
35D2,35/D2
36D1,36/D1
36D2,36/D2
27101,27/101
27102,27/102
27103,27/103
27104,27/104
27105,27/105
27106,27/106
27107,27/107
27108,27/108
27109,27/109
27110,27/110
27111,27/111
27112,27/112
27113,27/113
27114,27/114
27115,27/115
27116,27/116
27117,27/117
27118,27/118
27119,27/119
27120,27/120
27201,27/201
27202,27/202
27203,27/203
27204,27/204
27205,27/205
27206,27/206
27207,27/207
27208,27/208
27209,27/209
27210,27/210
27211,27/211
27212,27/212
27213,27/213
27214,27/214
27215,27/215
27216,27/216
27217,27/217
27218,27/218
27219,27/219
27220,27/220
28101,28/101
28102,28/102
28103,28/103
28104,28/104
28105,28/105
28106,28/106
28107,28/107
28108,28/108
28109,28/109
28110,28/110
28111,28/111
28112,28/112
28113,28/113
28114,28/114
28115,28/115
28116,28/116
28117,28/117
28118,28/118
28119,28/119
28120,28/120
28201,28/201
28202,28/202
28203,28/203
28204,28/204
28205,28/205
28206,28/206
28207,28/207
28208,28/208
28209,28/209
28210,28/210
28211,28/211
28212,28/212
28213,28/213
28214,28/214
28215,28/215
28216,28/216
28217,28/217
28218,28/218
28219,28/219
28220,28/220
29101,29/101
29102,29/102
29103,29/103
29104,29/104
29105,29/105
29106,29/106
29107,29/107
29108,29/108
29109,29/109
29110,29/110
29111,29/111
29112,29/112
29113,29/113
29114,29/114
29115,29/115
29116,29/116
29117,29/117
29118,29/118
29119,29/119
29120,29/120
29201,29/201
29202,29/202
29203,29/203
29204,29/204
29205,29/205
29206,29/206
29207,29/207
29208,29/208
29209,29/209
29210,29/210
29211,29/211
29212,29/212
29213,29/213
29214,29/214
29215,29/215
29216,29/216
29217,29/217
29218,29/218
29219,29/219
29220,29/220
30101,30/101
30102,30/102
30103,30/103
30104,30/104
30105,30/105
30106,30/106
30107,30/107
30108,30/108
30109,30/109
30110,30/110
30111,30/111
30112,30/112
30113,30/113
30114,30/114
30115,30/115
30116,30/116
30117,30/117
30118,30/118
30119,30/119
30120,30/120
30201,30/201
30202,30/202
30203,30/203
30204,30/204
30205,30/205
30206,30/206
30207,30/207
30208,30/208
30209,30/209
30210,30/210
30211,30/211
30212,30/212
30213,30/213
30214,30/214
30215,30/215
30216,30/216
30217,30/217
30218,30/218
30219,30/219
30220,30/220
31101,31/101
31102,31/102
31103,31/103
31104,31/104
31105,31/105
31106,31/106
31107,31/107
31108,31/108
31109,31/109
31110,31/110
31111,31/111
31112,31/112
31113,31/113
31114,31/114
31115,31/115
31116,31/116
31117,31/117
31118,31/118
31119,31/119
31120,31/120
31201,31/201
31202,31/202
31203,31/203
31204,31/204
31205,31/205
31206,31/206
31207,31/207
31208,31/208
31209,31/209
31210,31/210
31211,31/211
31212,31/212
31213,31/213
31214,31/214
31215,31/215
31216,31/216
31217,31/217
31218,31/218
31219,31/219
31220,31/220
32101,32/101
32102,32/102
32103,32/103
32104,32/104
