buildid,roomid
27,271E1
27,271E2
27,272E1
27,272E2
28,281E1
28,281E2
28,282E1
28,282E2
29,291E1
29,291E2
29,292E1
29,292E2
30,301E1
30,301E2
30,302E1
30,302E2
31,311E1
31,311E2
31,312E1
31,312E2
32,321E1
32,321E2
32,322E1
32,322E2
33,331E1
33,331E2
33,332E1
33,332E2
34,341E1
34,341E2
34,342E1
34,342E2
35,351E1
35,351E2
35,352E1
35,352E2
36,361E1
36,361E2
36,362E1
36,362E2
27,27D1
27,27D2
28,28D1
28,28D2
29,29D1
29,29D2
30,30D1
30,30D2
31,31D1
31,31D2
32,32D1
32,32D2
33,33D1
33,33D2
34,34D1
34,34D2
35,35D1
35,35D2
36,36D1
36,36D2
27,27101
27,27102
27,27103
27,27104
27,27105
27,27106
27,27107
27,27108
27,27109
27,27110
27,27111
27,27112
27,27113
27,27114
27,27115
27,27116
27,27117
27,27118
27,27119
27,27120
27,27201
27,27202
27,27203
27,27204
27,27205
27,27206
27,27207
27,27208
27,27209
27,27210
27,27211
27,27212
27,27213
27,27214
27,27215
27,27216
27,27217
27,27218
27,27219
27,27220
28,28101
28,28102
28,28103
28,28104
28,28105
28,28106
28,28107
28,28108
28,28109
28,28110
28,28111
28,28112
28,28113
28,28114
28,28115
28,28116
28,28117
28,28118
28,28119
28,28120
28,28201
28,28202
28,28203
28,28204
28,28205
28,28206
28,28207
28,28208
28,28209
28,28210
28,28211
28,28212
28,28213
28,28214
28,28215
28,28216
28,28217
28,28218
28,28219
28,28220
29,29101
29,29102
29,29103
29,29104
29,29105
29,29106
29,29107
29,29108
29,29109
29,29110
29,29111
29,29112
29,29113
29,29114
29,29115
29,29116
29,29117
29,29118
29,29119
29,29120
29,29201
29,29202
29,29203
29,29204
29,29205
29,29206
29,29207
29,29208
29,29209
29,29210
29,29211
29,29212
29,29213
29,29214
29,29215
29,29216
29,29217
29,29218
29,29219
29,29220
30,30101
30,30102
30,30103
30,30104
30,30105
30,30106
30,30107
30,30108
30,30109
30,30110
30,30111
30,30112
30,30113
30,30114
30,30115
30,30116
30,30117
30,30118
30,30119
30,30120
30,30201
30,30202
30,30203
30,30204
30,30205
30,30206
30,30207
30,30208
30,30209
30,30210
30,30211
30,30212
30,30213
30,30214
30,30215
30,30216
30,30217
30,30218
30,30219
30,30220
31,31101
31,31102
31,31103
31,31104
31,31105
31,31106
31,31107
31,31108
31,31109
31,31110
31,31111
31,31112
31,31113
31,31114
31,31115
31,31116
31,31117
31,31118
31,31119
31,31120
31,31201
31,31202
31,31203
31,31204
31,31205
31,31206
31,31207
31,31208
31,31209
31,31210
31,31211
31,31212
31,31213
31,31214
31,31215
31,31216
31,31217
31,31218
31,31219
31,31220
32,32101
32,32102
32,32103
32,32104
32,32105
32,32106
32,32107
32,32108
32,32109
32,32110
32,32111
32,32112
32,32113
32,32114
32,32115
32,32116
32,32117
32,32118
32,32119
32,32120
32,32201
32,32202
32,32203
32,32204
32,32205
32,32206
32,32207
32,32208
32,32209
32,32210
32,32211
32,32212
32,32213
32,32214
32,32215
32,32216
32,32217
32,32218
32,32219
32,32220
33,33101
33,33102
33,33103
33,33104
33,33105
33,33106
33,33107
33,33108
33,33109
33,33110
33,33111
33,33112
33,33113
33,33114
33,33115
33,33116
33,33117
33,33118
33,33119
33,33120
33,33201
33,33202
33,33203
33,33204
33,33205
33,33206
33,33207
33,33208
33,33209
33,33210
33,33211
33,33212
33,33213
33,33214
33,33215
33,33216
33,33217
33,33218
33,33219
33,33220
34,34101
34,34102
34,34103
34,34104
34,34105
34,34106
34,34107
34,34108
34,34109
34,34110
34,34111
34,34112
34,34113
34,34114
34,34115
34,34116
34,34117
34,34118
34,34119
34,34120
34,34201
34,34202
34,34203
34,34204
34,34205
34,34206
34,34207
34,34208
34,34209
34,34210
34,34211
34,34212
34,34213
34,34214
34,34215
34,34216
34,34217
34,34218
34,34219
34,34220
35,35101
35,35102
35,35103
35,35104
35,35105
35,35106
35,35107
35,35108
35,35109
35,35110
35,35111
35,35112
35,35113
35,35114
35,35115
35,35116
35,35117
35,35118
35,35119
35,35120
35,35201
35,35202
35,35203
35,35204
35,35205
35,35206
35,35207
35,35208
35,35209
35,35210
35,35211
35,35212
35,35213
35,35214
35,35215
35,35216
35,35217
35,35218
35,35219
35,35220
36,36101
36,36102
36,36103
36,36104
36,36105
36,36106
36,36107
36,36108
36,36109
36,36110
36,36111
36,36112
36,36113
36,36114
36,36115
36,36116
36,36117
36,36118
36,36119
36,36120
36,36201
36,36202
36,36203
36,36204
36,36205
36,36206
36,36207
36,36208
36,36209
36,36210
36,36211
36,36212
36,36213
36,36214
36,36215
36,36216
36,36217
36,36218
36,36219
36,36220
