roomid,keyid
27110,D4BD3794
27106,84B5D293
27103,A4B2E193
27201,649AF193
27119,B459D393
27112,B4173A94
27214,C47BE393
27101,8408E493
27217,4409CD93
27117,F443DE93
27109,E46BD893
27203,F4FADE93
27220,140FF093
27202,C4C2E793
27206,9443F493
27211,F483E593
27D1,D47DD493
272E2,84694694
27207,D426E393
27215,84A5D793
27101,743DE893
271E2,74D8DF93
27206,24E1E393
27213,8489F493
27104,44A5E293
27120,74A5E293
27216,6403E693
27219,A4FCCC93
27104,140DF093
27119,54A0F193
272E1,94914494
27212,141FF293
27214,7429F493
27213,0450E293
27209,240AE193
27113,B4AFE193
27D2,C478D493
27111,D4763894
27215,8447DE93
27114,041CD093
27D2,849DCF93
27201,44BDCA93
27208,148FE193
27117,94D1E293
27217,D48AF293
27208,9432EB93
27209,8445E593
27D2,D4C8F293
271E1,6483CE93
27210,C449E493
27207,242BCC93
271E2,14E0DB93
27108,04EED593
27202,84D9E893
27212,1429E293
27213,34B1E293
27107,44C74594
27110,6454CB93
27109,04D23B94
27216,E4ACD693
271E1,D4F4CC93
27203,B4F8E493
27105,A4AEF493
27219,7461EB93
272E1,940ACF93
27103,C456E093
27112,B4ADEC93
27111,E42AE193
27117,046C3894
27217,54E0F393
27214,E443DB93
27107,747ECC93
27118,040DCB93
27204,04B6F493
27113,44254194
27116,6429E393
27203,7487E393
27204,0479F493
27208,2488EA93
27116,F413D093
27116,34F7E493
27107,746FE193
27205,C416CC93
27102,A435E293
27211,D4E9DA93
27201,9453E693
27105,248DE193
27115,2409F093
27104,B4B14194
27112,3486EA93
27106,A4F5DC93
27219,D461D693
27114,549EF093
27218,D4D03B94
27105,A427D093
27120,4492E593
27102,64E1D593
27218,246EE493
27220,B4B6E393
27101,A473CD93
27205,9455E693
27118,B4B2E193
272E1,5433E293
27108,34DCEE93
27210,144BF193
272E2,B4AFEC93
27205,049BE493
27212,B41AF193
27106,842FE293
272E2,D41A4494
271E1,B40DED93
27D1,044FF193
27210,C44DE193
27207,145DE393
27209,248AEA93
27108,944FE193
27114,3477F493
27220,9469DD93
271E2,2413CD93
27115,5463EB93
27D1,94E93D94
27115,F4CD3A94
27202,544AF293
27113,54A0F093
27218,8479EC93
27109,3484F493
27206,7483E393
27215,4490E593
27102,C487F493
27119,640EE093
27118,2408E193
27216,D4F3DB93
27103,3416CF93
27204,D4C6F293
27120,14EDDD93
27211,F4A8F493
27110,94D2E493
27111,6449F493
281E2,44CFD393
28216,F47F4394
28112,C4E2CC93
28D2,A4B4CA93
28111,E476DC93
28214,C41FCE93
28D1,D4673894
28208,F40FD493
28108,54854194
28211,C401CB93
28119,54E0DD93
28218,C471DC93
28118,A46B3B94
28220,34DCD093
28105,649FD493
28120,C413DA93
28212,142F3F94
28113,A4BBCB93
28207,84424794
28114,84BECB93
28114,D481DD93
28112,C476CD93
282E2,9496CD93
28205,145D3794
28102,7466D193
28213,4491CC93
281E1,74364994
28201,940ACB93
28207,A40BCC93
28108,14C24594
28217,B4BECB93
28214,448FCE93
28119,84CFDC93
28110,6474CD93
28203,74DFDA93
28204,A406CC93
28117,C460D693
28205,149ECF93
28216,94FDCD93
282E1,B48BDB93
28202,34D2CB93
28214,B458DE93
28101,24C4DE93
28203,E4EFDB93
28104,44FCD393
28206,04B9E493
28205,C4EE3794
28208,F43BD593
28102,D430CC93
28215,64C4D093
28216,64B5DA93
28201,04E3D893
281E1,E4BDD093
28201,64DED893
28116,B4EFDB93
28D1,74FCDD93
28213,A41FDA93
28220,24E9DD93
281E1,24C2DE93
28111,F4EDCC93
28120,7458DC93
28103,F416D593
28119,B428CF93
28107,2418CE93
28202,C4F43594
28120,646ECB93
28105,C46DDE93
28208,E46FD393
28209,C4FFCA93
28107,6498CC93
28103,1492CC93
282E2,34D83C94
28206,74D0D393
28116,842FDA93
28104,C4F03B94
28117,748DD493
28106,9481D993
28116,F41FCD93
28118,B4DBDA93
28115,445ED893
28212,24D6DD93
28219,74FECC93
28109,7498CF93
28103,54E8D893
28106,640DD993
28211,843ED793
28114,84DA4194
28101,84FE3894
28204,F481CE93
28219,24ECCC93
28104,540AD293
28109,A4713B94
28108,F47DCE93
28117,F44ED793
28211,34FEDB93
282E2,54A9CE93
28110,E41CCD93
28111,E4F33994
282E1,34CA3A94
28115,E4B8CB93
28202,4497D193
28210,4452F293
28101,94A4CD93
28209,A49DD693
28118,34F0CC93
28215,9462DF93
28210,2472D893
28215,743BE293
281E2,F40DD493
28D2,B4F3CC93
28206,C466CD93
282E1,A4ABCB93
28D2,940CCB93
28107,D407CD93
28113,F4F33E94
28102,F4EFDB93
28210,D4DED893
28209,4471CD93
28220,24B8DA93
28207,14C4CA93
28112,843ED893
28218,041A3694
28113,8449D393
28105,D449DE93
28217,B4DA3B94
28204,34ED4894
28213,84F0CD93
281E2,C49BCE93
28218,A453DA93
28110,6415DA93
28203,744CD393
28219,A4A5D793
28212,54B9CA93
28109,643E3694
